Model,MSO44B
Channel,CH1,,Channel,CH3,,Channel,MATH1
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10,,Sample Interval,3.20000000e-10
Record Length,125000,,Record Length,125000,,Record Length,125000
Zero Index,28749.50000000,,Zero Index,28749.50000000,,Zero Index,28749.50000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,,
yPosition,-2.460000,,yPosition,-2.680000,,,

Labels,,,,Labels,
TIME,CH1,CH3,,TIME,MATH1
-9.14256000e-06,-8.59375000e-04,4.68750000e-03,,-9.14256000e-06,-1.09374998e-02
-9.14224000e-06,-5.15625000e-03,-1.09375000e-02,,-9.14224000e-06,1.71875004e-02
-9.14192000e-06,-6.25000000e-03,-5.15625000e-02,,-9.14192000e-06,4.29687500e-02
-9.14160000e-06,-3.20312500e-03,-7.26562500e-02,,-9.14160000e-06,6.64062500e-02
-9.14128000e-06,4.68750000e-04,-6.64062500e-02,,-9.14128000e-06,6.95312470e-02
-9.14096000e-06,1.25000000e-03,-6.32812500e-02,,-9.14096000e-06,4.45312485e-02
-9.14064000e-06,-6.25000000e-04,-7.96875000e-02,,-9.14064000e-06,2.03124993e-02
-9.14032000e-06,-3.59375000e-03,-8.67187500e-02,,-9.14032000e-06,2.89062504e-02
-9.14000000e-06,-6.71875000e-03,-7.26562500e-02,,-9.14000000e-06,5.85937500e-02
-9.13968000e-06,-8.90625000e-03,-6.32812500e-02,,-9.13968000e-06,6.56249970e-02
-9.13936000e-06,-8.43750000e-03,-5.70312500e-02,,-9.13936000e-06,1.32812504e-02
-9.13904000e-06,-6.64062500e-03,-7.03125000e-02,,-9.13904000e-06,-6.25000000e-02
-9.13872000e-06,-7.65625000e-03,-1.13281250e-01,,-9.13872000e-06,-8.04687515e-02
-9.13840000e-06,-1.10937500e-02,-1.26562500e-01,,-9.13840000e-06,-4.84374985e-02
-9.13808000e-06,-1.28125000e-02,-8.82812500e-02,,-9.13808000e-06,-3.12500000e-02
-9.13776000e-06,-1.20312500e-02,-4.37500000e-02,,-9.13776000e-06,-4.45312485e-02
-9.13744000e-06,-1.16406250e-02,-3.28125000e-02,,-9.13744000e-06,-7.50000030e-02
-9.13712000e-06,-1.16406250e-02,-5.78125000e-02,,-9.13712000e-06,-9.14062485e-02
-9.13680000e-06,-9.84375000e-03,-7.65625000e-02,,-9.13680000e-06,-4.76562493e-02
-9.13648000e-06,-8.35937500e-03,-8.28125000e-02,,-9.13648000e-06,3.82812507e-02
-9.13616000e-06,-7.89062500e-03,-1.11718750e-01,,-9.13616000e-06,9.06250030e-02
-9.13584000e-06,-5.54687500e-03,-1.37500000e-01,,-9.13584000e-06,6.32812530e-02
-9.13552000e-06,-2.81250000e-03,-1.31250000e-01,,-9.13552000e-06,-2.42187493e-02
-9.13520000e-06,-4.21875000e-03,-1.11718750e-01,,-9.13520000e-06,-1.06250003e-01
-9.13488000e-06,-7.42187500e-03,-8.35937500e-02,,-9.13488000e-06,-1.32031247e-01
-9.13456000e-06,-8.12500000e-03,-3.90625000e-02,,-9.13456000e-06,-1.02343753e-01
-9.13424000e-06,-7.89062500e-03,1.25000000e-02,,-9.13424000e-06,-5.07812500e-02
-9.13392000e-06,-8.35937500e-03,2.34375000e-02,,-9.13392000e-06,3.12500005e-03
-9.13360000e-06,-8.28125000e-03,-3.59375000e-02,,-9.13360000e-06,4.37499993e-02
-9.13328000e-06,-7.73437500e-03,-1.02343750e-01,,-9.13328000e-06,3.67187485e-02
-9.13296000e-06,-7.26562500e-03,-1.14843750e-01,,-9.13296000e-06,-1.17187500e-02
-9.13264000e-06,-6.95312500e-03,-8.98437500e-02,,-9.13264000e-06,-3.98437493e-02
-9.13232000e-06,-6.87500000e-03,-6.40625000e-02,,-9.13232000e-06,-2.18749996e-02
-9.13200000e-06,-6.71875000e-03,-5.54687500e-02,,-9.13200000e-06,2.34375009e-03
-9.13168000e-06,-6.95312500e-03,-5.85937500e-02,,-9.13168000e-06,6.25000009e-03
-9.13136000e-06,-8.82812500e-03,-6.48437500e-02,,-9.13136000e-06,-1.56250002e-03
-9.13104000e-06,-1.05468750e-02,-8.12500000e-02,,-9.13104000e-06,-9.37500037e-03
-9.13072000e-06,-8.20312500e-03,-9.45312500e-02,,-9.13072000e-06,-1.56250002e-03
-9.13040000e-06,-2.18750000e-03,-8.04687500e-02,,-9.13040000e-06,1.48437498e-02
-9.13008000e-06,1.48437500e-03,-6.09375000e-02,,-9.13008000e-06,3.28124985e-02
